idiom,sentence
all hell broke loose,l
all hell broke loose,l
all hell broke loose,l
off the hook,l
off the hook,l
off the hook,l
against the grain,l
against the grain,l
play with fire,l
play with fire,l
play with fire,l
make a killing,l
make a killing,l
make a killing,l
carry the can,l
carry the can,l
carry the can,l
in the doghouse,l
in the doghouse,l
in the doghouse,l
behind the scenes,l
behind the scenes,l
behind the scenes,l
go to the wall,l
go to the wall,l
go to the wall,l
see the light of day,l
see the light of day,l
under the weather,l
under the weather,l
under the weather,l
jump through hoops,l
jump through hoops,l
jump through hoops,l
on the horn,l
on the horn,l
to the bone,l
to the bone,l
push the envelope,l
push the envelope,l
look on the bright side,l
look on the bright side,l
up to here,l
up to here,l
up to here,l
night and day,l
night and day,l
head for the hills,l
head for the hills,l
head for the hills,l
pass the buck,l
pass the buck,l
rise from the ashes,l
rise from the ashes,l
rise from the ashes,l
meat and potatoes,l
meat and potatoes,l
meat and potatoes,l
in bed with,l
in bed with,l
in bed with,l
in the pink,l
in the pink,l
in the pink,l
go to town,l
go to town,l
go to town,l
heart of gold,l
heart of gold,l
heart of gold,l
par for the course,l
par for the course,l
par for the course,l
out of line,l
out of line,l
out of line,l
stay the course,l
stay the course,l
stay the course,l
smoke and mirrors,l
smoke and mirrors,l
get to the bottom of,l
get to the bottom of,l
get to the bottom of,l
by the book,l
by the book,l
in your face,l
in your face,l
in your face,l
in the black,l
in the black,l
in the black,l
hit the nail on the head,l
hit the nail on the head,l
in the driving seat,l
in the driving seat,l
in the driving seat,l
join the club,l
join the club,l
join the club,l
walk the plank,l
walk the plank,l
eat humble pie,l
eat humble pie,l
eat humble pie,l
up the river,l
up the river,l
up the river,l
circle the wagons,l
look the part,l
look the part,l
look the part,l
moment of truth,l
all bets are off,l
all bets are off,l
knock someone's socks off,l
on the side of the angels,l
on the side of the angels,l
on the side of the angels,l
jump on the bandwagon,l
jump on the bandwagon,l
jump on the bandwagon,l
turn the other cheek,l
raise the roof,l
raise the roof,l
raise the roof,l
do the right thing,l
do the right thing,l
do the right thing,l
on the square,l
on the square,l
on the square,l
pick up the pieces,l
pick up the pieces,l
pick up the pieces,l
touch and go,l
off and running,l
off and running,l
off and running,l
horses for courses,l
horses for courses,l
horses for courses,l
wipe the slate clean,l
wipe the slate clean,l
wipe the slate clean,l
hit the jackpot,l
hit the jackpot,l
hit the jackpot,l
round the bend,l
round the bend,l
round the bend,l
go for the jugular,l
go for the jugular,l
go for the jugular,l
nip and tuck,l
nip and tuck,l
nip and tuck,l
throw the baby out with the bathwater,l
throw the baby out with the bathwater,l
out of order,l
out of order,l
out of order,l
muddy the waters,l
muddy the waters,l
muddy the waters,l
move the goalposts,l
move the goalposts,l
move the goalposts,l
hair of the dog,l
hair of the dog,l
hair of the dog,l
have someone's number,l
neither here nor there,l
neither here nor there,l
neither here nor there,l
out of the woods,l
out of the woods,l
out of the woods,l
sit on the fence,l
sit on the fence,l
sit on the fence,l
keep the peace,l
keep the peace,l
six feet under,l
six feet under,l
six feet under,l
dead and buried,l
dead and buried,l
dead and buried,l
down in the dumps,l
down in the dumps,l
down in the dumps,l
know the score,l
know the score,l
know the score,l
oil and water,l
oil and water,l
oil and water,l
add fuel to the fire,l
add fuel to the fire,l
add fuel to the fire,l
power behind the throne,l
power behind the throne,l
power behind the throne,l
blood and guts,l
blood and guts,l
blood and guts,l
strike while the iron is hot,l
strike while the iron is hot,l
on the hop,l
on the hop,l
on the hop,l
all over the map,l
all over the map,l
all over the map,l
let the cat out of the bag,l
let the cat out of the bag,l
let the cat out of the bag,l
blaze a trail,l
blaze a trail,l
blaze a trail,l
on the bounce,l
on the bounce,l
on the bounce,l
at a canter,l
at a canter,l
at a canter,l
out to lunch,l
out to lunch,l
out to lunch,l
twist someone's arm,l
twist someone's arm,l
twist someone's arm,l
swings and roundabouts,l
swings and roundabouts,l
swings and roundabouts,l
on the ball,l
on the ball,l
rob Peter to pay Paul,l
rob Peter to pay Paul,l
rob Peter to pay Paul,l
ring a bell,l
ring a bell,l
ring a bell,l
to die for,l
to die for,l
to die for,l
everything but the kitchen sink,l
spend a penny,l
spend a penny,l
spend a penny,l
in black and white,l
in black and white,l
in black and white,l
doom and gloom,l
doom and gloom,l
doom and gloom,l
keep tabs on,l
keep tabs on,l
keep tabs on,l
get the picture,l
get the picture,l
get the picture,l
look the other way,l
look the other way,l
look the other way,l
burst someone's bubble,l
burst someone's bubble,l
burst someone's bubble,l
fall in line,l
fall in line,l
fall in line,l
water under the bridge,l
water under the bridge,l
water under the bridge,l
keep a lid on,l
keep a lid on,l
keep a lid on,l
down the drain,l
down the drain,l
down the drain,l
make the cut,l
make the cut,l
make the cut,l
free and easy,l
free and easy,l
free and easy,l
with a vengeance,l
cut both ways,l
cut both ways,l
cut both ways,l
sing the praises of,l
sing the praises of,l
sing the praises of,l
hold the line,l
pull the plug,l
pull the plug,l
pull the plug,l
make a move,l
make a move,l
make a move,l
make a meal of,l
make a meal of,l
make a meal of,l
the icing on the cake,l
the icing on the cake,l
the icing on the cake,l
in the red,l
in the red,l
in the red,l
feel the pinch,l
feel the pinch,l
feel the pinch,l
under the microscope,l
under the microscope,l
under the microscope,l
pay the piper,l
pay the piper,l
pay the piper,l
on the trot,l
on the trot,l
on the trot,l
peaches and cream,l
peaches and cream,l
toe the line,l
toe the line,l
grasp the nettle,l
grasp the nettle,l
grasp the nettle,l
high and mighty,l
high and mighty,l
high and mighty,l
in the hole,l
in the hole,l
in the hole,l
take the fall,l
take the fall,l
take the fall,l
in the offing,l
in the offing,l
in the offing,l
ride roughshod over,l
ride roughshod over,l
ride roughshod over,l
crash and burn,l
crash and burn,l
