idiom,pred
all hell broke loose,i
all hell broke loose,i
all hell broke loose,i
off the hook,i
off the hook,i
off the hook,i
against the grain,i
against the grain,i
play with fire,l
play with fire,l
play with fire,l
make a killing,i
make a killing,i
make a killing,l
carry the can,l
carry the can,l
carry the can,l
in the doghouse,l
in the doghouse,l
in the doghouse,l
behind the scenes,i
behind the scenes,l
behind the scenes,i
go to the wall,l
go to the wall,l
go to the wall,l
see the light of day,l
see the light of day,l
under the weather,l
under the weather,l
under the weather,l
jump through hoops,l
jump through hoops,l
jump through hoops,l
on the horn,l
on the horn,i
to the bone,l
to the bone,i
push the envelope,l
push the envelope,l
look on the bright side,l
look on the bright side,l
up to here,i
up to here,i
up to here,i
night and day,i
night and day,i
head for the hills,l
head for the hills,l
head for the hills,l
pass the buck,l
pass the buck,i
rise from the ashes,i
rise from the ashes,i
rise from the ashes,i
meat and potatoes,l
meat and potatoes,l
meat and potatoes,l
in bed with,l
in bed with,l
in bed with,l
in the pink,l
in the pink,l
in the pink,l
go to town,i
go to town,i
go to town,l
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,i
par for the course,i
par for the course,i
out of line,i
out of line,l
out of line,l
stay the course,l
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,l
get to the bottom of,i
get to the bottom of,i
by the book,i
by the book,l
in your face,i
in your face,i
in your face,i
in the black,i
in the black,i
in the black,i
hit the nail on the head,l
hit the nail on the head,l
in the driving seat,l
in the driving seat,l
in the driving seat,l
join the club,l
join the club,l
join the club,l
walk the plank,l
walk the plank,l
eat humble pie,i
eat humble pie,i
eat humble pie,i
up the river,i
up the river,i
up the river,i
circle the wagons,l
look the part,i
look the part,i
look the part,i
moment of truth,i
all bets are off,i
all bets are off,i
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,l
jump on the bandwagon,l
jump on the bandwagon,l
turn the other cheek,l
raise the roof,l
raise the roof,l
raise the roof,l
do the right thing,l
do the right thing,i
do the right thing,i
on the square,l
on the square,i
on the square,l
pick up the pieces,l
pick up the pieces,l
pick up the pieces,l
touch and go,i
off and running,i
off and running,l
off and running,l
horses for courses,i
horses for courses,i
horses for courses,i
wipe the slate clean,l
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,i
hit the jackpot,i
hit the jackpot,l
round the bend,i
round the bend,i
round the bend,i
go for the jugular,i
go for the jugular,i
go for the jugular,i
nip and tuck,i
nip and tuck,i
nip and tuck,i
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,i
out of order,i
out of order,i
muddy the waters,i
muddy the waters,i
muddy the waters,i
move the goalposts,i
move the goalposts,l
move the goalposts,i
hair of the dog,i
hair of the dog,l
hair of the dog,i
have someone's number,l
neither here nor there,i
neither here nor there,i
neither here nor there,i
out of the woods,l
out of the woods,l
out of the woods,l
sit on the fence,l
sit on the fence,l
sit on the fence,l
keep the peace,i
keep the peace,i
six feet under,i
six feet under,i
six feet under,i
dead and buried,i
dead and buried,i
dead and buried,i
down in the dumps,i
down in the dumps,i
down in the dumps,i
know the score,l
know the score,l
know the score,l
oil and water,i
oil and water,l
oil and water,l
add fuel to the fire,l
add fuel to the fire,i
add fuel to the fire,l
power behind the throne,i
power behind the throne,i
power behind the throne,i
blood and guts,l
blood and guts,l
blood and guts,l
strike while the iron is hot,i
strike while the iron is hot,i
on the hop,i
on the hop,l
on the hop,l
all over the map,i
all over the map,i
all over the map,i
let the cat out of the bag,l
let the cat out of the bag,l
let the cat out of the bag,i
blaze a trail,l
blaze a trail,l
blaze a trail,i
on the bounce,i
on the bounce,i
on the bounce,i
at a canter,l
at a canter,i
at a canter,i
out to lunch,i
out to lunch,i
out to lunch,i
twist someone's arm,l
twist someone's arm,i
twist someone's arm,l
swings and roundabouts,l
swings and roundabouts,i
swings and roundabouts,i
on the ball,l
on the ball,i
rob Peter to pay Paul,l
rob Peter to pay Paul,i
rob Peter to pay Paul,i
ring a bell,i
ring a bell,l
ring a bell,l
to die for,i
to die for,i
